day,time,artist,album,type,title,spotify,apple,year,month
15,12:00,HOTSHOT,Early Flowering,mini album,I Hate You,https://open.spotify.com/album/1fVyhHPX5VRf9RjjGJYRdn,None,2018,11
15,18:00,Jung Jinwoo (PLT),ROTATE,full-length album,Color / She's Got Everything,https://open.spotify.com/album/0z9w17dhwqTjZ1o3LRQAGS,None,2018,11
15,18:00,Kim Na Young,inner,full-length album,I Can't Say That,https://open.spotify.com/album/7ATHVUonkzW7AaNoyU84Ie,None,2018,11
16,18:00,Crush,Lay Your Head On Me,digital single,Lay Your Head On Me,https://open.spotify.com/album/1WjDLK8q9K46V78cODlWjx,None,2018,11
16,18:00,Woo (Woo Won Jae),CASH,pre-release single,CASH,https://open.spotify.com/album/51sa5RAfLRK5iE5gZVY5oS,None,2018,11
17,12:00,AQUA,Log In,debut digital single,Log In,https://open.spotify.com/album/6e7NRrm9DonJZc67764I2L,None,2018,11
17,18:00,icia,Are You Kidding,digital single,Are You Kidding,https://open.spotify.com/album/1EX4bIVwvHeFNlTnauX7Og,None,2018,11
17,18:00,Kid Milli,Maiden Voyage III,mini album,Duracell (feat. Byung Un),https://open.spotify.com/album/3RyKgW0P9zcasqp5vTdtvH,None,2018,11
17,18:00,LUCY,SWING,digital single,SWING (feat. Block B's Park Kyung),https://open.spotify.com/album/6VmURVgBakY7aT5Odlwinv,None,2018,11
18,18:00,HLB,F.M.F,debut digital single,천당 아래 청담,https://open.spotify.com/album/66Ikwi9uvebKaiFExjZ0C5,None,2018,11
18,18:00,"Jiyoung (Bubble Sisters), Kwon Soonil (Urban Zakapa), ""Giant Chestnuts of Bread""",King of Mask Singer 178,onmibus,If It Is You / I Know Everything / Love...That Person,https://open.spotify.com/album/6tsnOVCrsmPsa8YcIRkmbv,None,2018,11
18,23:18,Jinyoung (Former B1A4),You are,digital single,You are,None,None,2018,11
19,12:00,Matilda,가을과 겨울 사이,digital single,가을과 겨울 사이,https://open.spotify.com/album/1bJKVkAeVX9zX4es2z9GJ7,None,2018,11
19,18:00,Celeb Five,Shutter,digital single,Shutter (feat. Lee Duck Hwa),https://open.spotify.com/album/65I3kacETR0ekRVQPqCIhg,None,2018,11
19,18:00,Wanna One,1¹¹=1 (POWER OF DESTINY),full-length album,Spring Breeze,https://open.spotify.com/album/3GlWXh9hTWYJF8TNolZZmq,None,2018,11
20,12:00,VOISPER,Wishes,full-length album,Goodbye to Goodbye,https://open.spotify.com/album/3wNlzZ8l1W0LL5zgv23rlv,None,2018,11
20,18:00,Highlight,OUTRO,special mini album,Loved,https://open.spotify.com/album/6GcK8UwZU9cNBlG5pIWwjS,None,2018,11
20,18:00,Hwang Chi Yeul,Learn to love,digital single,Learn to love,https://open.spotify.com/album/7xD4HSEfNUWTLEhnDIcU6P,None,2018,11
21,00:00,Dreamcatcher,What,Japanese debut single album,What-Japanese ver.-,https://open.spotify.com/album/7D25Rbrrl6rQ0lPvG9ZueW,None,2018,11
21,00:00,TVXQ,Jealous,Japanese single album,Jealous,https://open.spotify.com/album/4kox4tQOGLyb4B5aNZ6mr6,None,2018,11
21,12:00,Dongiz,Nom,pre-debut single,Nom,None,None,2018,11
21,18:00,Baek A Yeon,Dear me,mini album,Sorry To Myself,https://open.spotify.com/album/4Oj08xYBeuKU93EdQ2A3ia,None,2018,11
21,18:00,EXID,I Love You,single album,I Love You,https://open.spotify.com/album/0BePiDVdS09GVoBe30WMAd,None,2018,11
22,12:00,Nature,Some & Love,single album,You'll Be Mine,https://open.spotify.com/album/0j2ZsfCmzIlrJidc86E79R,None,2018,11
22,18:00,Sam Kim,Sun And Moon,full-length album,It's You (feat. ZICO),https://open.spotify.com/album/0AsQlY5YENtlvd8SLnrSxX,None,2018,11
22,18:00,Woo (Woo Won Jae),af,mini album,a fence,https://open.spotify.com/album/4D4c8N9dVBUaVRRP6teuOE,None,2018,11
