artist,album,image_url
The Solutions,Love Again,https://i.scdn.co/image/ab67616d0000b2731bc37cec9e534973488bf66a
AObeats (feat. Eric Nam),Like You,https://i.scdn.co/image/ab67616d0000b273d376cf0aa9c5528531467ca8
Sunmi,SUNMI SPECIAL EDITION,https://i.scdn.co/image/ab67616d0000b273e33d84e471094fe701f06860
DIA,Love Generation,https://i.scdn.co/image/ab67616d0000b2730e65e6dbd7ddfe632198fe77
Momoland,Freeze!,https://i.scdn.co/image/ab67616d0000b2730bd6e251b7e1fad1c1967c34
FTISLAND,Paradise,https://i.scdn.co/image/ab67616d0000b273422412cc4232e6c5b917914d
Monsta X,Beautiful,https://i.scdn.co/image/ab67616d0000b273c3cab7b9219ca1a7428aba37
VICTON,IDENTITY,https://i.scdn.co/image/ab67616d0000b273b826e73ea938c33597156037
Pristin,SCHXXL OUT,https://i.scdn.co/image/ab67616d0000b273e61597f42acee6ac8a62db1b
Jisook,Baesisi,https://i.scdn.co/image/ab67616d0000b273dbf06605ab26c408e3945a2d
S2,Honeya,https://i.scdn.co/image/ab67616d0000b273bef51d670bb3fe2e0954478d
Hoody,HANGANG,https://i.scdn.co/image/ab67616d0000b2735537666f7a5edfd77172c5ad
Yu Seungwoo X Younha,Can't Stop This Feeling,https://i.scdn.co/image/ab67616d0000b273e8fdababae9b0cf876b93d53
S.I.S,I've Got a Feeling,https://i.scdn.co/image/ab67616d0000b273c611d08c8b2c352945102454
Heize,In the Time Being with You,https://i.scdn.co/image/ab67616d0000b27344c03f76e4678ac9361abde2
Hur Youngji,Memory Clock,https://i.scdn.co/image/ab67616d0000b273e7aa2370fb3f866fdbbafe8a
Kassy,Let It Rain,https://i.scdn.co/image/ab67616d0000b27366e09b8e95bbe8260c12f3f6
Jackson Wang (GOT7),Papillon,https://i.scdn.co/image/ab67616d0000b273e056819f5c55b597962bc0b9
Sanchez,감성,https://i.scdn.co/image/ab67616d0000b2735878cb33b3218b2a00df89d1
Superbee X myunDo,Summer in 82,https://i.scdn.co/image/ab67616d0000b273a0ede861f1e5c5e2ac1a9856
Nick & Sammy,Belong to Me,https://i.scdn.co/image/ab67616d0000b2731b16980ecdd7fc45f34b6ce4
Owen Ovadoz,Problematic,https://i.scdn.co/image/ab67616d0000b273d006f31599740345c5b618e3
Yoon Jong Shin,Home Made,https://i.scdn.co/image/ab67616d0000b2736160cdb5f5a649f5aaf030d8
Golden Child,Gol-Cha!,https://i.scdn.co/image/ab67616d0000b27337fcfc7302574ee18bdc39a2
Stanley Clarke X Myron Mckinley Trio,Man in the Mirror,https://i.scdn.co/image/ab67616d0000b2734dc7a815f1608a226badb3a0
VIXX LR,Whisper,https://i.scdn.co/image/ab67616d0000b27377b594cf5e3ac8b043a7e4eb
C Jamm,Know,https://i.scdn.co/image/ab67616d0000b273d6464eb7a52d35e4f65e2c7f
HyunA,Following,https://i.scdn.co/image/ab67616d0000b27332ec50a56d6f69bfaf810ae2
BLACKPINK,BLACKPINK,https://i.scdn.co/image/ab67616d0000b27313f04cac2880eff385ba37c3
Boys Republic,Beginning,https://i.scdn.co/image/ab67616d0000b2735fd28554ef97fcd95dc29ae0
Snowman X Jooeun (DIA),알듯 말듯,https://i.scdn.co/image/ab67616d0000b273bfbdc9f08cf74b8525d4bdd8
Good Day,All Day Good Day,https://i.scdn.co/image/ab67616d0000b273ef40a0186bd1b1e879a6a44c
Henry (Super Junior M),That One,https://i.scdn.co/image/ab67616d0000b273ba2ae7386c71dfa4ec727fd8
Primary,Pop,https://i.scdn.co/image/ab67616d0000b273728eedf572af372bbc7a0218
Yook Sungjae (BTOB),Piece of BTOB Vol.6,https://i.scdn.co/image/ab67616d0000b27311e2aeeecfe0dec884ead9d5
Babylon,La Vida Loca,https://i.scdn.co/image/ab67616d0000b2733588a3296aa56d3fee12e0ba
IZ,All You Want,https://i.scdn.co/image/ab67616d0000b273feac327c8db8bb467edc8db8
Jeong SeWoon,Part.1: Ever,https://i.scdn.co/image/ab67616d0000b273f4c505951ceaf2a1bcffaa9b
Kebee,100GROUND,https://i.scdn.co/image/ab67616d0000b2739a7a5a154a412af9e33eaead
Crush,The Last Festival,https://i.scdn.co/image/ab67616d0000b273dc4e7e6e56b445599bf8b87f
IM,Sad Story,https://i.scdn.co/image/ab67616d0000b27327dd35e28e84a66036e5d1dd
Moon Yirang,Aphasia,https://i.scdn.co/image/ab67616d0000b273c371de1c3f824f041073ef10
Rolling Paper,Polaroid,https://i.scdn.co/image/ab67616d0000b2733820e590045aba1fddcc82d1
10cm,4.0,https://i.scdn.co/image/ab67616d0000b273a120dbf6caa29c0ea5d75a7b
NO:EL,ELLEONOEL,https://i.scdn.co/image/ab67616d0000b273945cd6f0f99d127bd6fbd1a4
Various Artists,Show Me The Money 6 Ep.5,https://i.scdn.co/image/ab67616d0000b273ab2c3d71f842f0be294b512f
BewhY,The Blind Star 0.5,https://i.scdn.co/image/ab67616d0000b273a48a4d68da663965062f7a26
BLACK6IX,Like a Flower,https://i.scdn.co/image/ab67616d0000b273d77b836fd736ec9043441b5a
Lee Gikwang (Highlight),ONE,https://i.scdn.co/image/ab67616d0000b2731b52df9d7951c5181f7bc1f8
Yang Soo Kyung,End of Farewell,https://i.scdn.co/image/ab67616d0000b273f30016c20a9c438e1be016c3
Lee Boram (SeeYa),Love... And So It Is,https://i.scdn.co/image/ab67616d0000b2735d5baa6974fd21a057d022dd
Peejay,WALKIN' Vol.2,https://i.scdn.co/image/ab67616d0000b273a16f8fe7d87daf0d2477aaf3
Woo Won Jae,We Are,https://i.scdn.co/image/ab67616d0000b2734d09b7070d79d62578fd363e
ZIA,Sad eyes,https://i.scdn.co/image/ab67616d0000b273850738ead9dee2c2610dcf13
Kim Yongjin,DIFFERENT + ING,https://i.scdn.co/image/ab67616d0000b2731ddae01db2182398f5cc4367
M to M,Wind,https://i.scdn.co/image/ab67616d0000b273e627b86ade110070019d5a13
"San E, PENOMECO, Microdot, Kebee",Fresh Up,https://i.scdn.co/image/ab67616d0000b27329f964e97cf287a117702f7e
B.A.P,BLUE,https://i.scdn.co/image/ab67616d0000b2739996ad0abd2261ee5e04a03f
EXO,THE WAR: The Power of Music,https://i.scdn.co/image/ab67616d0000b27393c43b3b54b0d36725935545
Shin Hye Sung (Shinhwa),Serenity,https://i.scdn.co/image/ab67616d0000b273d61a53aa50400cdc9f66afae
Insoo (MYNAME),NAKED,https://i.scdn.co/image/ab67616d0000b27335fef2000353a4d9c24bc7e1
Cho Hyung Woo,Afternoon Dream,https://i.scdn.co/image/ab67616d0000b2736fca0bddfddb82d75219edf0
DAY6,I Loved You,https://i.scdn.co/image/ab67616d0000b273f2dff926aea1c07dfa42bf33
MXM,UNMIX,https://i.scdn.co/image/ab67616d0000b273cfb120398de21711b753e50e
Pentagon,DEMO_01,https://i.scdn.co/image/ab67616d0000b273430b0ad4d37bc539e4ed7fb1
