day,time,artist,album,type,title,spotify,apple,year,month
1st,12:00,Yesung (Super Junior) X Cheon Dan Bi,"Today, a bit more",digital single,"Today, a bit more",None,http://apple.co/2wtbCDH,2017,8
1st,18:00,Apple.B,Woochuchu,debut digital single,Woochuchu,https://play.spotify.com/album/5XzZWqCCbgnZzxnS9Z0WXH,http://apple.co/2x23K9X,2017,8
1st,18:00,Gfriend,Parallel,mini album,Love Whisper,https://play.spotify.com/album/2cGPXPXZxEBr6LniuA3ewf,http://apple.co/2wduWVy,2017,8
1st,18:00,Joo Won Tak,Baby Goodnight,fan song,Baby Goodnight (ft. Suyeon of A.De),https://play.spotify.com/album/7DjGTXglP5WxgWYIXk5mbt,http://apple.co/2vd3uTC,2017,8
1st,18:00,Park Kyung (Block B),Space Oddity Project Vol.1,digital single,WIPED,https://play.spotify.com/album/4MLjhbngkk4plmxmi8ZwAi,http://apple.co/2uTGf5L,2017,8
2nd,0:00,SF9,Easy Love,Japanese single album,Easy Love,https://play.spotify.com/album/6XDUmZsyIFwQpnndwBRzLW,None,2017,8
2nd,12:00,ONF,ON/OFF,debut mini album,ON/OFF,https://play.spotify.com/album/5LXE3uv4h0im6sPvMG89pG,http://apple.co/2fW3k0C,2017,8
2nd,16:00,Samuel,Sixteen,debut mini album,Sixteen (feat. Changmo),https://play.spotify.com/album/37Jg3LrnbKrMxNT5RjgUGt,http://apple.co/2vONhaw,2017,8
2nd,18:00,N.Flying,THE REAL: N.Flying,mini album,THE REAL,https://play.spotify.com/album/4xUc0Rh3ULTblrirfHnwKu,http://apple.co/2ifCYHR,2017,8
3rd,12:00,AA,Flex,debut digital single,FLEX,None,http://apple.co/2ihmiQo,2017,8
3rd,12:00,THE ROSE,Sorry,debut digital single,Sorry,https://play.spotify.com/album/6D48tHXsa6LzoViDIACdkt,http://apple.co/2x2qyWW,2017,8
3rd,12:00,Tritops,zinnia,digital single,zinnia,https://play.spotify.com/album/5gdvjzqr2SFchJE2WTJp9j,http://apple.co/2vOkBhQ,2017,8
3rd,18:00,CLC,FREE'SM,mini album,Where are You?,https://play.spotify.com/album/4UXgZzt4Zbc4Vg4Ll61ZXh,http://apple.co/2ihLbuW,2017,8
3rd,18:00,Nine Muses,Muses Diary Part.3 LOVE CITY,repackage mini album,LOVE CITY,https://play.spotify.com/album/7wDJe5Y34uwZW7sNNTnlxx,http://apple.co/2wsQ8H9,2017,8
3rd,18:00,"Huh Gak, Apink, VICTON",Plan A Third Episode,Plan A project single,OASIS,https://play.spotify.com/album/1BNyLtvQCyyCYSUAaLnElz,http://apple.co/2vP8Yr1,2017,8
4th,12:00,B.HEART,Summer Night,digital single,Summer Night (feat. Eunji),https://play.spotify.com/album/2SJuhkogza07uS98HZwZqU,None,2017,8
4th,12:00,Drug Restaurant,Pomade,mini album,Drink O2 in the Water,None,http://apple.co/2uUe6vc,2017,8
4th,12:00,Primary,New Generation,mini album,"~42 (feat. Sam Kim, eSNa)",https://play.spotify.com/album/25DwzsTZrbsUWFK2FYf0Mp,None,2017,8
4th,12:00,Real Girls Project,PINGPONG GAME,digital single,PINGPONG GAME,https://play.spotify.com/album/4VozTpp5xHQRL7EvyJbsY5,http://apple.co/2wt2aQs,2017,8
4th,16:00,WINNER,Our Twenty For,single album,Love Me Love Me / Island,https://play.spotify.com/album/3s5LEazLAxgYZSFdG98rHw,http://apple.co/2xfpwpY,2017,8
4th,18:00,SNSD,Holiday Night,10th anniversary full-length album,All Night / Holiday,https://play.spotify.com/album/5MQM8Jw1FvT21Dny8cOXjF,http://apple.co/2vvTsAL,2017,8
5th,12:00,Yoo Young Jin X NCT's Taeyong,CURE,SM STATION 2 project single,CURE,https://play.spotify.com/album/0OJix83FcgJ7m1ro4bDGhM,http://apple.co/2wkK3Nq,2017,8
6th,18:00,NO:EL,Supplement,debut pre-release double single,I Don't Give a Fuck (feat. SWINGS),https://play.spotify.com/album/6Cca09ytGj9vd0McoccqAw,http://apple.co/2x2eLbn,2017,8
6th,18:00,Various Artists,Show Me The Money 6  Ep.1,Team Performances,(Four Team Songs),https://play.spotify.com/album/2B9I38E4rXdaXsaXC5mBlE,http://apple.co/2wt2uPu,2017,8
7th,12:00,ALi X Cheetah,Don't Speak,digital single,Don't Speak,https://play.spotify.com/album/0t2QwxHCJYofiUKzcbJhEj,http://apple.co/2ihoTK9,2017,8
7th,12:00,BLANC7,worldwide,single album,HELLO,https://play.spotify.com/album/6yOLGx9gG8bPxErGEqHbZX,http://apple.co/2uUkhPG,2017,8
7th,12:00,DAY6,What Can I Do,Every DAY6 project single,What Can I Do,https://play.spotify.com/album/2saTCXsAZGCMODcXIsc9j9,http://apple.co/2x1XdMl,2017,8
7th,12:00,QUEENDOM,QUEENDOM's Party Vol.1,debut digital single,Fly High,None,None,2017,8
7th,18:00,Wanna One,1X1=1(TO BE ONE),debut mini album,Energetic,https://play.spotify.com/album/6sQ2Gukev7VHstYs30LRAu,http://apple.co/2wdpqSU,2017,8
1st,12:00,Crush,The Last Festival,Seo Taiji Time:Traveler project single,The Last Festival,https://play.spotify.com/album/6ANtqKq7wag8PSgunt8NiS,None,2017,9
1st,12:00,IM,Sad Story,debut digital single,Sad Story,https://play.spotify.com/album/74WmeKvC3zsavZqd19fThD,None,2017,9
1st,12:00,Moon Yirang,Aphasia,digital single,Aphasia (feat. Hoody),https://play.spotify.com/album/60FZuqV4CmvvRCJ0D7eXFN,None,2017,9
2nd,0:00,HipHop Team (Seventeen),Before Al1,2017 Seventeen project single,Trauma,None,None,2017,10
2nd,12:00,Kim Kyujong (SS501),Play in Nature Part.2 FOREST,single album,HUG ME,https://play.spotify.com/album/62r6pvK96nuJrYEKTdPev0,None,2017,10
3rd,12:00,Keith Ape X Ski Mask The Slump God,Achoo,digital single,Achoo,https://play.spotify.com/album/7A1YvHtwUCd4EjhJBd3zTo,None,2017,10
7th,11:00,Lay (EXO),LAY 02 SHEEP,Chinese full-length album,SHEEP,https://play.spotify.com/album/18IRk3vprPVqDkOnrA3LAf,None,2017,10
8th,0:00,AOORA,SLAY,digital single,SLAY,None,None,2017,10
8th,12:00,Park Hyunbin X Lee Gikwang,Shabang Shabang (Fantastic Duo 2 Pt.17),TV,Shabang Shabang,https://play.spotify.com/album/4rnk2ii2arT56cokd8TMyN,None,2017,10
8th,18:00,DPR LIVE,Jasmine,digital single,Jasmine (prod. Code Kunst),https://play.spotify.com/album/2J4lOWOjWUYBRJoShrhAGk,None,2017,10
1st,0:00,G-Dragon (Big Bang),Kwon Ji Yong,Japanese mini album,,None,None,2017,11
1st,12:00,Stray Kids,Hellevator,pre-debut digital single,Hellevator,None,None,2017,11
1st,12:00,The Rose,Like We Used To,digital single,Like We Used To,https://play.spotify.com/album/2azacjfyDSvoX8O1QmN39h,None,2017,11
1st,18:00,ASTRO,Dream Part.02,mini album,Crazy Sexy Cool,https://play.spotify.com/album/0ATs7XoyXolPxK5vADyZlH,None,2017,11
1st,18:00,Stella Jang,Cheerleader,digital single,Cheerleader (feat. Olltii),None,None,2017,11
2nd,12:00,VAV,She's Mine,digital single,She's Mine,https://play.spotify.com/album/2lGxxu2aQURQNK9VyfivLZ,None,2017,11
2nd,18:00,Eddy Kim,Bet on Me,digital single,Bet on Me,https://play.spotify.com/album/0sp1XyY3ZC5T9u3XBwFsz1,None,2017,11
2nd,18:00,Hyungseob x Euiwoong,The Moment of Memory,debut project single album,It Will Be Good,https://play.spotify.com/album/148w0AMlfkn0iaq0LG1lHJ,None,2017,11
2nd,18:00,Woo Won Jae,Anxiety,digital single,loop / Paranoid,https://play.spotify.com/album/3kMfYknksIqG8uyM2rwNlJ,None,2017,11
3rd,12:00,SOLE,RIDE,debut digital single,RIDE,https://play.spotify.com/album/3t4nLWaE60YINX7QLTIbAS,None,2017,11
3rd,18:00,10cm x Chen (EXO),Bye Babe,SM STATION 2 project single,Bye Babe,https://play.spotify.com/album/0rpezypIJYjFC8RNI2GsRh,None,2017,11
3rd,18:00,Bang Minah (Girl's Day),Other way,digital single,11°,https://play.spotify.com/album/4LcD9EBYZvYcZ8iz4FLglx,None,2017,11
3rd,18:00,MIND U,Dear,mini album,If,https://play.spotify.com/album/1uyVWiPzaLDIzKIpgSOmWg,None,2017,11
4th,18:00,Nick & Sammy,Without You,mini album,Without You,https://play.spotify.com/album/2EdYsX1EIdvV12AYFgIpE4,None,2017,11
5th,12:00,We Are The Night,Calm Myself Down,mini-album,Deeper in Love,https://play.spotify.com/album/5ybZf6FgPVhcYBVq8tYV8j,None,2017,11
5th,12:00,Sori,MIXNINE Pt.2,digital single,To Myself,https://play.spotify.com/album/6b5cCjrp2Dfw8cvzhEl20X,None,2017,11
5th,18:00,Jeon Soyeon,Jelly,debut single,Jelly,https://play.spotify.com/album/7iTA4T8A4tDU77Dt6y3f9m,None,2017,11
6th,12:00,DAY6,All Alone,Every DAY6 project single,All Alone,https://play.spotify.com/album/1YVVClbv9za2R64Ov4a3GQ,None,2017,11
6th,18:00,Seventeen,"TEEN,AGE",full-length album,CLAP,https://play.spotify.com/album/5aHdNainJWMc3n2AqfiOg5,None,2017,11
6th,18:00,Sonamoo,I,Happy Box project single,I,https://play.spotify.com/album/26uRlgdFakvihF5S4pKU3w,None,2017,11
6th,18:00,Super Junior,PLAY,full-length album,One More Chance / Black Suit,https://play.spotify.com/album/1F7DAPXJpLVKfyZFSFsrCw,None,2017,11
7th,18:00,Block B,Montage,mini album,Shall We Dance,https://play.spotify.com/album/2E88InijeUw9UL0B7kmfe9,None,2017,11
7th,18:00,EXID,Full Moon,mini album,DDD,https://play.spotify.com/album/2ejJVhXC1pgVgROMsetsUL,None,2017,11
7th,18:00,Monsta X,The Code,mini album,Dramarama,https://play.spotify.com/album/4NJpBKY4XJbRLAsbbeIzyJ,None,2017,11
8th,0:00,Apink,Orion,Japanese single album,Orion,None,None,2017,11
8th,12:00,Kim Sohee,the Fillette,debut mini album,SobokSobok (feat. Fiestar's Yezi),https://play.spotify.com/album/6CanaIaZNt4HUh927k8xE9,None,2017,11
